report_month,project_id,anomaly_type,value,previous_value,severity,source_file,source_page,notes
2026-07,400247,DECREASE_PHYSICAL_PROGRESS,49.0,76.0,REVIEW,FlashReport_July_2026-1.pdf,89,Source value retained unchanged; decrease is not treated as an error.
2025-11,400253,DECREASE_REVISED_COST,6669.91,6670.0,REVIEW,FlashReport_November_2025.pdf,65,Source value retained unchanged; decrease is not treated as an error.
2026-07,400254,DECREASE_PHYSICAL_PROGRESS,80.0,84.2,REVIEW,FlashReport_July_2026-1.pdf,81,Source value retained unchanged; decrease is not treated as an error.
2026-07,400261,DISAPPEAR_REAPPEAR,2025-09;2025-10;2025-11;2025-12;2026-01,,REVIEW,FlashReport_July_2026-1.pdf,62,Missing between observed months; not interpreted as completion.
2026-07,400273,DECREASE_PHYSICAL_PROGRESS,75.0,96.9,REVIEW,FlashReport_July_2026-1.pdf,89,Source value retained unchanged; decrease is not treated as an error.
2026-07,400275,DECREASE_EXPENDITURE,1175.82,1335.29,REVIEW,FlashReport_July_2026-1.pdf,84,Source value retained unchanged; decrease is not treated as an error.
2026-02,400275,DECREASE_PHYSICAL_PROGRESS,16.0,19.0,REVIEW,FlashReport_February_2026.pdf,95,Source value retained unchanged; decrease is not treated as an error.
2026-07,400275,DECREASE_PHYSICAL_PROGRESS,16.0,16.85,REVIEW,FlashReport_July_2026-1.pdf,84,Source value retained unchanged; decrease is not treated as an error.
2025-11,400280,DECREASE_REVISED_COST,734.01,982.0,REVIEW,FlashReport_November_2025.pdf,68,Source value retained unchanged; decrease is not treated as an error.
2026-07,400291,DECREASE_EXPENDITURE,1369.01,1691.27,REVIEW,FlashReport_July_2026-1.pdf,81,Source value retained unchanged; decrease is not treated as an error.
2026-06,400291,DECREASE_PHYSICAL_PROGRESS,96.17,97.6,REVIEW,FlashReport_June_2026.pdf,85,Source value retained unchanged; decrease is not treated as an error.
2026-07,400291,DECREASE_PHYSICAL_PROGRESS,89.0,96.17,REVIEW,FlashReport_July_2026-1.pdf,81,Source value retained unchanged; decrease is not treated as an error.
2026-07,400298,DECREASE_EXPENDITURE,2535.68,3119.31,REVIEW,FlashReport_July_2026-1.pdf,80,Source value retained unchanged; decrease is not treated as an error.
2026-07,400298,DECREASE_PHYSICAL_PROGRESS,2.0,55.02,REVIEW,FlashReport_July_2026-1.pdf,80,Source value retained unchanged; decrease is not treated as an error.
2026-07,400298,DECREASE_REVISED_COST,5906.03,5932.0,REVIEW,FlashReport_July_2026-1.pdf,80,Source value retained unchanged; decrease is not treated as an error.
2025-08,400315,DECREASE_EXPENDITURE,565.26,571.02,REVIEW,FlashReport_August_2025.pdf,41,Source value retained unchanged; decrease is not treated as an error.
2025-09,400321,DECREASE_PHYSICAL_PROGRESS,47.0,48.0,REVIEW,FlashReport_September_2025.pdf,44,Source value retained unchanged; decrease is not treated as an error.
2026-06,400352,DECREASE_EXPENDITURE,0.43,145.81,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-05,400352,DECREASE_PHYSICAL_PROGRESS,29.39,32.23,REVIEW,FlashReport_May2026.pdf,56,Source value retained unchanged; decrease is not treated as an error.
2026-06,400352,DECREASE_ORIGINAL_COST,654.87,764.57,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-06,400352,DECREASE_REVISED_COST,654.87,764.57,REVIEW,FlashReport_June_2026.pdf,61,Source value retained unchanged; decrease is not treated as an error.
2026-05,400353,DECREASE_EXPENDITURE,174.55,174.62,REVIEW,FlashReport_May2026.pdf,57,Source value retained unchanged; decrease is not treated as an error.
2025-08,400392,DECREASE_EXPENDITURE,1748.41,1748.9,REVIEW,FlashReport_August_2025.pdf,40,Source value retained unchanged; decrease is not treated as an error.
2025-09,400392,DECREASE_EXPENDITURE,1672.82,1748.41,REVIEW,FlashReport_September_2025.pdf,46,Source value retained unchanged; decrease is not treated as an error.
2026-04,400392,DECREASE_EXPENDITURE,1711.38,1711.62,REVIEW,FlashReport_April2026.pdf,60,Source value retained unchanged; decrease is not treated as an error.
