report_month,state,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-10,Punjab,15.0,39196.9,40648.05,25979.99,State-Wise-Report.csv,aggregate_csv
2025-10,Himachal Pradesh,11.0,25881.08,30529.6,14620.04,State-Wise-Report.csv,aggregate_csv
2025-10,Arunachal Pradesh,11.0,101491.54,162801.65,106745.73,State-Wise-Report.csv,aggregate_csv
2025-10,Kerala,10.0,16089.94,21632.53,10598.45,State-Wise-Report.csv,aggregate_csv
2025-10,Uttarakhand,8.0,54105.27,68706.57,46289.99,State-Wise-Report.csv,aggregate_csv
2025-10,Sikkim,8.0,29905.83,39351.55,29020.53,State-Wise-Report.csv,aggregate_csv
2025-10,Nagaland,6.0,23666.28,25254.95,17779.34,State-Wise-Report.csv,aggregate_csv
2025-10,Mizoram,3.0,14850.56,16439.23,12089.29,State-Wise-Report.csv,aggregate_csv
2025-10,Meghalaya,4.0,15842.81,17431.48,12549.56,State-Wise-Report.csv,aggregate_csv
2025-10,Tripura,4.0,15241.66,16752.51,12501.76,State-Wise-Report.csv,aggregate_csv
2025-10,Andaman & Nicobar,1.0,209.88,209.88,0.0,State-Wise-Report.csv,aggregate_csv
2025-10,Ladakh,3.0,1105.6,1229.84,979.43,State-Wise-Report.csv,aggregate_csv
2025-10,Goa,3.0,6060.18,6438.31,6370.26,State-Wise-Report.csv,aggregate_csv
2025-10,Dadra & Nagar Haveli and Daman & Diu,3.0,112756.26,112756.26,87178.19,State-Wise-Report.csv,aggregate_csv
2025-10,Jammu & Kashmir,15.0,28352.23,34202.62,18282.45,State-Wise-Report.csv,aggregate_csv
2025-10,Manipur,6.0,31554.24,40783.86,30066.86,State-Wise-Report.csv,aggregate_csv
2025-10,Puducherry,2.0,1331.34,1525.34,1128.28,State-Wise-Report.csv,aggregate_csv
2025-10,Haryana,18.0,129800.26,206927.45,176073.39,State-Wise-Report.csv,aggregate_csv
2025-10,Delhi,28.0,137284.31,137839.23,55696.04,State-Wise-Report.csv,aggregate_csv
2025-10,Tamil Nadu,20.0,114627.68,126629.84,43180.67,State-Wise-Report.csv,aggregate_csv
2025-10,Maharashtra,113.0,430807.29,550307.85,383630.61,State-Wise-Report.csv,aggregate_csv
2025-10,Gujarat,76.0,397766.39,527744.09,400282.66,State-Wise-Report.csv,aggregate_csv
2025-10,Jharkhand,67.0,167382.99,180414.25,75601.09,State-Wise-Report.csv,aggregate_csv
2025-10,Uttar Pradesh,60.0,248667.17,333516.47,270522.07,State-Wise-Report.csv,aggregate_csv
