report_month,sector,project_count,original_cost_crores,revised_cost_crores,expenditure_crores,source_file,source_type
2025-12,Steel,19.0,18161.41,21399.7,8617.56,Sector-Wise-Report.csv,aggregate_csv
2025-12,Real Estate,6.0,37591.1,37591.1,810.96,Sector-Wise-Report.csv,aggregate_csv
2025-12,Healthcare,22.0,16604.22,18612.53,5998.04,Sector-Wise-Report.csv,aggregate_csv
2025-12,Oil & Gas,93.0,353462.93,381880.79,191900.78,Sector-Wise-Report.csv,aggregate_csv
2025-12,Aviation & Aviation Infrastructure,25.0,21237.66,22451.66,9260.93,Sector-Wise-Report.csv,aggregate_csv
2025-12,Education,29.0,15418.91,14866.73,8254.39,Sector-Wise-Report.csv,aggregate_csv
2025-12,Waste & Water,31.0,9664.14,9688.47,5739.31,Sector-Wise-Report.csv,aggregate_csv
2025-12,Electricity Generation,37.0,280742.33,339525.34,150605.54,Sector-Wise-Report.csv,aggregate_csv
2025-12,Water Resources,39.0,93740.23,193594.13,140622.27,Sector-Wise-Report.csv,aggregate_csv
2025-12,Transmission & Distribution,63.0,152121.4,158084.97,59380.79,Sector-Wise-Report.csv,aggregate_csv
2025-12,Urban Public Transport,25.0,311946.96,332528.49,203575.23,Sector-Wise-Report.csv,aggregate_csv
2025-12,Coal,115.0,158367.68,156105.67,48265.26,Sector-Wise-Report.csv,aggregate_csv
2025-12,Railways,251.0,705752.59,856854.01,688175.12,Sector-Wise-Report.csv,aggregate_csv
2025-12,Roads & Highways,584.0,527441.16,537798.67,185963.95,Sector-Wise-Report.csv,aggregate_csv
2026-01,Energy Storage,17.0,81207.16,120038.39,96246.4,Sector-Wise-Report.csv,aggregate_csv
2026-01,Telecommunication,14.0,151923.46,274015.99,77232.29,Sector-Wise-Report.csv,aggregate_csv
2026-01,Shipping,9.0,15124.41,15290.87,9338.98,Sector-Wise-Report.csv,aggregate_csv
2026-01,Metals & Mining,7.0,10044.36,12480.73,7172.81,Sector-Wise-Report.csv,aggregate_csv
2026-01,Logistics Infrastructure,1.0,763.0,763.0,430.0,Sector-Wise-Report.csv,aggregate_csv
2026-01,Construction,2.0,899.37,899.37,222.37,Sector-Wise-Report.csv,aggregate_csv
2026-01,Inland Waterways,2.0,5546.18,5258.15,4149.62,Sector-Wise-Report.csv,aggregate_csv
2026-01,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,545.51,Sector-Wise-Report.csv,aggregate_csv
2026-01,Steel,19.0,18161.41,21399.7,8959.01,Sector-Wise-Report.csv,aggregate_csv
2026-01,Real Estate,6.0,37591.1,37582.1,13207.34,Sector-Wise-Report.csv,aggregate_csv
2026-01,Aviation & Aviation Infrastructure,26.0,21600.76,22814.76,9677.27,Sector-Wise-Report.csv,aggregate_csv
2026-01,Urban Public Transport,28.0,335215.64,355797.17,205666.48,Sector-Wise-Report.csv,aggregate_csv
2026-01,Education,30.0,15617.88,15065.7,8356.02,Sector-Wise-Report.csv,aggregate_csv
2026-01,Railways,251.0,697517.25,850970.91,700909.44,Sector-Wise-Report.csv,aggregate_csv
2026-01,Coal,118.0,185977.27,183715.26,48546.78,Sector-Wise-Report.csv,aggregate_csv
2026-01,Oil & Gas,93.0,353598.97,382327.64,191043.75,Sector-Wise-Report.csv,aggregate_csv
2026-01,Transmission & Distribution,70.0,206140.79,212104.36,61527.48,Sector-Wise-Report.csv,aggregate_csv
2026-01,Roads & Highways,863.0,799040.39,814341.45,247872.26,Sector-Wise-Report.csv,aggregate_csv
2026-01,Electricity Generation,38.0,310690.33,369473.34,154880.77,Sector-Wise-Report.csv,aggregate_csv
2026-01,Healthcare,37.0,21179.22,25630.61,9754.47,Sector-Wise-Report.csv,aggregate_csv
2026-01,Waste & Water,31.0,9664.14,9732.67,5777.93,Sector-Wise-Report.csv,aggregate_csv
2026-01,Water Resources,39.0,93740.23,193594.13,140375.93,Sector-Wise-Report.csv,aggregate_csv
2026-02,Steel,19.0,18161.41,21399.7,9471.99,Sector-Wise-Report.csv,aggregate_csv
2026-02,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,545.51,Sector-Wise-Report.csv,aggregate_csv
2026-02,Construction,2.0,899.37,899.37,232.77,Sector-Wise-Report.csv,aggregate_csv
2026-02,Inland Waterways,2.0,5546.18,5258.15,4190.19,Sector-Wise-Report.csv,aggregate_csv
2026-02,Real Estate,6.0,37591.1,37582.1,13929.25,Sector-Wise-Report.csv,aggregate_csv
2026-02,Logistics Infrastructure,1.0,763.0,763.0,430.0,Sector-Wise-Report.csv,aggregate_csv
2026-02,Shipping,9.0,15124.41,15290.87,9338.98,Sector-Wise-Report.csv,aggregate_csv
2026-02,Telecommunication,14.0,151923.46,274015.99,77298.07,Sector-Wise-Report.csv,aggregate_csv
2026-02,Energy Storage,17.0,81207.16,120038.39,98707.47,Sector-Wise-Report.csv,aggregate_csv
2026-02,Aviation & Aviation Infrastructure,26.0,21600.76,22814.76,10079.87,Sector-Wise-Report.csv,aggregate_csv
2026-02,Metals & Mining,7.0,10044.36,12480.73,7284.31,Sector-Wise-Report.csv,aggregate_csv
2026-02,Waste & Water,30.0,9428.41,9496.94,5598.35,Sector-Wise-Report.csv,aggregate_csv
2026-02,Education,30.0,15617.88,15065.7,8502.74,Sector-Wise-Report.csv,aggregate_csv
2026-02,Healthcare,37.0,21179.22,25630.61,9929.58,Sector-Wise-Report.csv,aggregate_csv
2026-02,Electricity Generation,38.0,310690.33,369473.34,159125.31,Sector-Wise-Report.csv,aggregate_csv
2026-02,Water Resources,41.0,117826.11,221647.32,157621.1,Sector-Wise-Report.csv,aggregate_csv
2026-02,Transmission & Distribution,69.0,203950.25,209913.82,62393.44,Sector-Wise-Report.csv,aggregate_csv
2026-02,Oil & Gas,96.0,367211.08,395613.29,191970.51,Sector-Wise-Report.csv,aggregate_csv
2026-02,Coal,120.0,190252.37,187990.36,48934.69,Sector-Wise-Report.csv,aggregate_csv
2026-02,Railways,247.0,693607.15,844707.36,563949.55,Sector-Wise-Report.csv,aggregate_csv
2026-02,Roads & Highways,1108.0,1023675.67,1051567.26,323514.82,Sector-Wise-Report.csv,aggregate_csv
2026-02,Urban Public Transport,28.0,335215.64,355797.17,208407.32,Sector-Wise-Report.csv,aggregate_csv
2026-03,Energy Storage,15.0,80140.16,118910.68,100403.08,Sector-Wise-Report.csv,aggregate_csv
2026-03,Telecommunication,12.0,151125.15,273253.44,77020.95,Sector-Wise-Report.csv,aggregate_csv
2026-03,Shipping,7.0,14726.15,14766.76,9770.72,Sector-Wise-Report.csv,aggregate_csv
2026-03,Logistics Infrastructure,1.0,763.0,763.0,430.0,Sector-Wise-Report.csv,aggregate_csv
2026-03,Construction,2.0,899.37,899.37,260.49,Sector-Wise-Report.csv,aggregate_csv
2026-03,Inland Waterways,2.0,5546.18,5258.15,4340.0,Sector-Wise-Report.csv,aggregate_csv
2026-03,"Tourism, Hospitality & Wellness",1.0,573.0,1238.05,611.24,Sector-Wise-Report.csv,aggregate_csv
2026-03,Steel,18.0,17811.66,21049.95,9797.06,Sector-Wise-Report.csv,aggregate_csv
2026-03,Real Estate,6.0,37591.1,37582.1,14977.01,Sector-Wise-Report.csv,aggregate_csv
2026-03,Urban Public Transport,26.0,299557.47,320189.0,180184.42,Sector-Wise-Report.csv,aggregate_csv
2026-03,Metals & Mining,6.0,9689.36,11899.73,7407.84,Sector-Wise-Report.csv,aggregate_csv
2026-03,Education,30.0,15617.88,15065.7,8781.28,Sector-Wise-Report.csv,aggregate_csv
2026-03,Waste & Water,30.0,9428.41,9496.94,5639.26,Sector-Wise-Report.csv,aggregate_csv
