project_code,identity_key,prediction_month,state,sector,ministry,agency,project_age_months,progress_current,expenditure_current,original_cost_current,revised_cost_current,effective_target_months_from_cutoff,progress_change_1m,progress_change_3m,progress_velocity_3m,progress_acceleration_3m,expenditure_change_1m,expenditure_change_3m,expenditure_velocity_3m,cost_revision_count_to_date,last_cost_revision_pct,months_since_cost_revision,schedule_revision_count_to_date,months_since_schedule_revision,months_since_material_progress_change,expenditure_to_original_cost,expenditure_to_revised_cost,cost_revision_pct_current,months_observed,months_since_first_observation,revised_cost_missing,progress_missing,future_schedule_later_3m
400035,P:400035,2025-07,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],37.000000,84.000000,465.730000,656.000000,656.000000,2.000000,,,,,,,,0,,,0,,,0.709954,0.709954,0.000000,1,0,0,0,1
400035,P:400035,2025-08,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],38.000000,86.000000,478.110000,656.000000,656.000000,10.000000,2.000000,,,,12.380000,,,0,,,1,0.000000,0.000000,0.728826,0.728826,0.000000,2,1,0,0,0
400035,P:400035,2025-09,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],39.000000,88.000000,483.900000,656.000000,656.000000,9.000000,2.000000,,,0.000000,5.790000,,,0,,,1,1.000000,0.000000,0.737652,0.737652,0.000000,3,2,0,0,0
400035,P:400035,2025-10,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],40.000000,89.000000,509.920000,656.000000,656.000000,8.000000,1.000000,5.000000,1.666667,-1.000000,26.020000,44.190000,14.730000,0,,,1,2.000000,0.000000,0.777317,0.777317,0.000000,4,3,0,0,0
400035,P:400035,2025-11,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],41.000000,90.000000,519.020000,656.000000,656.000000,7.000000,1.000000,4.000000,1.333333,0.000000,9.100000,40.910000,13.636667,0,,,1,3.000000,0.000000,0.791189,0.791189,0.000000,5,4,0,0,0
400035,P:400035,2025-12,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],42.000000,92.000000,526.860000,656.000000,656.000000,6.000000,2.000000,4.000000,1.333333,1.000000,7.840000,42.960000,14.320000,0,,,1,4.000000,0.000000,0.803140,0.803140,0.000000,6,5,0,0,0
400035,P:400035,2026-01,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],43.000000,94.000000,500.520000,656.000000,656.000000,5.000000,2.000000,5.000000,1.666667,0.000000,-26.340000,-9.400000,-3.133333,0,,,1,5.000000,0.000000,0.762988,0.762988,0.000000,7,6,0,0,0
400035,P:400035,2026-02,Tripura,Energy Storage,Ministry of Petroleum & Natural Gas,Indian Oil Corporation Limited [IOCL],44.000000,96.000000,509.070000,656.000000,656.000000,4.000000,2.000000,6.000000,2.000000,0.000000,8.550000,-9.950000,-3.316667,0,,,1,6.000000,0.000000,0.776021,0.776021,0.000000,8,7,0,0,0
400043,P:400043,2025-07,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,42.000000,62.000000,297.770000,829.000000,829.000000,10.000000,,,,,,,,0,,,0,,,0.359192,0.359192,0.000000,1,0,0,0,0
400043,P:400043,2025-08,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,43.000000,63.000000,301.710000,829.000000,829.000000,9.000000,1.000000,,,,3.940000,,,0,,,0,,0.000000,0.363945,0.363945,0.000000,2,1,0,0,0
400043,P:400043,2025-09,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,44.000000,66.000000,320.630000,829.000000,829.000000,8.000000,3.000000,,,2.000000,18.920000,,,0,,,0,,0.000000,0.386767,0.386767,0.000000,3,2,0,0,0
400043,P:400043,2025-10,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,45.000000,67.000000,327.860000,829.000000,829.000000,7.000000,1.000000,5.000000,1.666667,-2.000000,7.230000,30.090000,10.030000,0,,,0,,0.000000,0.395489,0.395489,0.000000,4,3,0,0,0
400043,P:400043,2025-11,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,46.000000,67.000000,338.150000,829.000000,829.000000,6.000000,0.000000,4.000000,1.333333,-1.000000,10.290000,36.440000,12.146667,0,,,0,,1.000000,0.407901,0.407901,0.000000,5,4,0,0,0
400043,P:400043,2025-12,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,47.000000,69.000000,339.980000,829.000000,829.000000,5.000000,2.000000,3.000000,1.000000,2.000000,1.830000,19.350000,6.450000,0,,,0,,0.000000,0.410109,0.410109,0.000000,6,5,0,0,0
400043,P:400043,2026-01,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,48.000000,71.000000,331.770000,829.000000,829.000000,4.000000,2.000000,4.000000,1.333333,0.000000,-8.210000,3.910000,1.303333,0,,,0,,0.000000,0.400205,0.400205,0.000000,7,6,0,0,0
400043,P:400043,2026-02,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,49.000000,74.000000,335.370000,829.000000,829.000000,3.000000,3.000000,7.000000,2.333333,1.000000,3.600000,-2.780000,-0.926667,0,,,0,,0.000000,0.404548,0.404548,0.000000,8,7,0,0,1
400043,P:400043,2026-03,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,50.000000,75.300000,350.210000,829.000000,829.000000,2.000000,1.300000,6.300000,2.100000,-1.700000,14.840000,10.230000,3.410000,0,,,0,,0.000000,0.422449,0.422449,0.000000,9,8,0,0,1
400043,P:400043,2026-04,Tamil Nadu,Energy Storage,Ministry of Petroleum & Natural Gas,Ministry of Petroleum & Natural Gas,51.000000,76.200000,350.210000,829.000000,829.000000,1.000000,0.900000,5.200000,1.733333,-0.400000,0.000000,18.440000,6.146667,0,,,0,,1.000000,0.422449,0.422449,0.000000,10,9,0,0,1
400045,P:400045,2025-07,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,36.000000,82.000000,69.850000,168.320000,168.320000,-6.000000,,,,,,,,0,,,0,,,0.414983,0.414983,0.000000,1,0,0,0,0
400045,P:400045,2025-08,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,37.000000,82.000000,69.850000,168.320000,168.320000,-7.000000,0.000000,,,,0.000000,,,0,,,0,,,0.414983,0.414983,0.000000,2,1,0,0,0
400045,P:400045,2025-09,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,38.000000,82.000000,69.850000,168.320000,168.320000,-8.000000,0.000000,,,0.000000,0.000000,,,0,,,0,,,0.414983,0.414983,0.000000,3,2,0,0,0
400045,P:400045,2025-10,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,39.000000,82.000000,69.850000,168.320000,168.320000,-9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,0.414983,0.414983,0.000000,4,3,0,0,0
400045,P:400045,2025-11,Odisha,Railways,Ministry of Railways,East Coast Railway [ECoR] - II,40.000000,82.000000,69.850000,168.320000,168.320000,-10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,,,0,,,0.414983,0.414983,0.000000,5,4,0,0,0
